"Week starting (Wythnos yn dechrau)","Week ending (Wythnos yn gorffen)","Country (Wlad)","Check-ins (Cofrestriadau)","Symptoms reported (Symptomau a adroddwyd)","Positive test results linked to app (Canlyniadau prawf positif)","Negative test results linked to app (Canlyniadau prawf negatif)","Contact tracing alert (Hysbysiadau olrhain cyswllt)","Cumulative check-ins (Cofrestriadau cronnus)","Cumulative symptoms reported (Symptomau a adroddwyd cronnus)","Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus)","Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus)","Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus)"
"2022-02-24","2022-03-02","Wales / Cymru",,"342","4753","918","10259","5079651","120032","266285","494969","516099"
"2022-03-03","2022-03-09","England / Lloegr",,"7126","115141","11091","322787","256294165","2216700","5315680","8705816","13792178"
"2022-03-03","2022-03-09","Wales / Cymru",,"394","6809","911","13798","5079651","120426","273094","495880","529897"
"2022-03-10","2022-03-16","England / Lloegr",,"10484","191736","13319","506103","256294165","2227184","5507416","8719135","14298281"
"2022-03-10","2022-03-16","Wales / Cymru",,"644","11636","981","20079","5079651","121070","284730","496861","549976"
"2022-03-17","2022-03-23","England / Lloegr",,"12285","234685","15351","572901","256294165","2239469","5742101","8734486","14871182"
"2022-03-17","2022-03-23","Wales / Cymru",,"966","16403","1191","27175","5079651","122036","301133","498052","577151"
"2022-03-24","2022-03-30","England / Lloegr",,"12266","224287","13765","512642","256294165","2251735","5966388","8748251","15383824"
"2022-03-24","2022-03-30","Wales / Cymru",,"1020","15399","894","24457","5079651","123056","316532","498946","601608"
"2022-03-31","2022-04-06","England / Lloegr",,"12319","160558","8167","371848","256294165","2264054","6126946","8756418","15755672"
"2022-03-31","2022-04-06","Wales / Cymru",,"921","11800","474","19437","5079651","123977","328332","499420","621045"
"2022-04-07","2022-04-13","England / Lloegr",,"9502","99910","2375","236640","256294165","2273556","6226856","8758793","15992312"
"2022-04-07","2022-04-13","Wales / Cymru",,"704","9173","211","13288","5079651","124681","337505","499631","634333"
